0;1;2;3;4;5
116;Chaman Bansal;No data;['Still Waters Go Deep'];['Reparto'];Sin oscar
117;Roberta Hanlen;No data;[''];['Reparto', 'Especialistas'];Sin Oscar
118;Trystan Pütter;1980;[''];['Reparto'];Sin Oscar
119;Cameron Carter;No data;['La maldición de Oak Island', '2022–2023 • 2 episodios'];No data;Sin oscar
120;Miquirray Compagny Luciana;No data;['Soy Tu Fan: La Película', 'La caja vacía', 'Clío'];['Reparto'];Sin oscar
121;Ivars Krasts;1980;['Revolucija / Revolution', 'Blakus', 'Magic Kimono', 'Agentura', '2020'];['Reparto'];Sin Oscar
122;Boran Kuzum;1992;[''];['Reparto', 'Producción'];Sin Oscar
123;George Appleby;No data;[''];['Reparto', 'Especialistas'];Sin oscar
124;Natalie Scott;No data;[''];['Reparto', 'Composición'];Sin oscar
125;Mio Masuda;No data;['Sekai no owari kara', 'Rurô no tsuki'];['Reparto'];Sin oscar
126;Mandeep Singh;1996;['Krrish', 'Jinde Meriye', 'Rocky Mental', 'Son of Sardaar'];['Reparto'];Sin oscar
127;Aarushi Sharma;1996;['Sooryavanshi', 'Panchhi', 'High End Yaariyaan', 'Kaka Ji'];['Reparto'];Sin oscar
128;Lynette Callaghan;No data;[''];['Reparto'];Sin oscar
129;Nadia Albina;No data;[''];['Reparto'];Sin oscar
130;Valentin Tanev;1957;[''];['Reparto'];Sin Oscar
131;Susana Arrais;1975;[''];['Reparto', 'Equipos adicionales', 'Producción'];Sin Oscar
132;Pooja Bhatt;1972;[''];['Reparto', 'Producción', 'Dirección'];Sin Oscar
133;Vangelis Psomas;No data;['Kathartirio', 'Thilyki etaireia', 'Abejas Salvajes', '2022 • 8 episodios', '2022'];['Reparto'];Sin Oscar
134;Eddie Marsan;1968;[''];['Reparto', 'Banda sonora'];Sin Oscar
135;Hopper Penn;1993;[''];['Reparto', 'Producción'];Sin Oscar
136;Divyendu Sharma;1983;[''];['Reparto'];Sin Oscar
137;Steve Farah;No data;['Cawdor Street Thanes'];['Reparto'];Sin oscar
138;Sathish;1987;[''];['Reparto', 'Guion'];Sin Oscar
139;Thomas J. O'Brien;No data;[''];['Reparto', 'Producción', 'Casting'];Sin Oscar
140;Sajid Nadiadwala;1966;[''];['Producción', 'Guion', 'Dirección'];Sin Oscar
141;Kathy Bell Denton;No data;[''];['Reparto'];Sin oscar
142;Chaz Bono;1969;[''];['Reparto', 'Producción', 'Equipos adicionales'];Nominado para 1 premio Primetime Emmy
143;David Rousing;1970;['Mille', '2009 • 10 episodios', '2008', 'Kurer', 'Serie de TV'];['Reparto'];Sin oscar
144;Andrew Sanko Logan;No data;['Everybody Loves Jeanne'];['Reparto'];Sin oscar
145;Marianne Mörck;1949;['Inspector Wallander', '2005–2013 • 25 episodios', '2020', '2018', 'BiggeBirgitta'];['Reparto', 'Dirección', 'Banda sonora'];Sin Oscar
146;Indar Smith;No data;[''];['Reparto'];Sin oscar
147;Randall Yarbrough;No data;[''];['Reparto', 'Guion', 'Dirección'];Sin oscar
148;Sofie Juul Blinkenberg;No data;['Welcome to the Moon', 'Serie de TV', '5,7', '6,4'];['Reparto'];Sin oscar
149;Sharmaarke Purcell;No data;[''];['Reparto', 'Especialistas'];Sin oscar
150;Angela Barber;No data;[''];['Reparto', 'Equipos adicionales'];Sin oscar
151;Hector David Jr.;1989;[''];['Reparto', 'Dirección', 'Producción'];Sin Oscar
152;Placide Ali;No data;['Utama'];['Reparto'];Sin oscar
153;Maniesh Paul;1981;[''];['Reparto', 'Producción', 'Música'];Sin Oscar
154;Adem Yilmaz;1983;[''];['Reparto', 'Guion'];Sin oscar
155;Yu Shu Ching;No data;['Sun Moon'];['Reparto'];Sin oscar
156;Dustin Bell;No data;No data;No data;Sin oscar
157;Guggu Gill;1960;[''];['Reparto'];Sin Oscar
158;Emre Tetikel;agosto;['A propósito de Elly', 'Sefkat Gibi - As Compassion', 'Negar', 'Paranoid: Everything Wipe from the Beginning'];['Reparto', 'Producción', 'Guion'];Sin Oscar
159;Stefanie Buma;No data;[''];['Reparto', 'Cámara y electricidad'];Sin oscar
160;James Purefoy;1964;[''];['Reparto', 'Producción'];Sin Oscar
161;Jessica McNamee;junio;[''];['Reparto', 'Equipo ejecutivo'];Sin Oscar
162;Vera Carlbom;No data;['El año en que empecé a masturbarme'];['Reparto', 'Banda sonora'];Sin oscar
163;Alain Teutelo;No data;[''];['Reparto', 'Producción'];Sin oscar
164;Dani Jaén;No data;['El efecto Darma'];['Reparto'];Sin oscar
165;Roberto Herlitzka;1937;[''];['Reparto', 'Equipos adicionales'];Sin Oscar
166;Chedly Arfaoui;No data;['Bolice', '2015–2016 • 48 episodios', '2011', '2017', '2016'];['Reparto', 'Guion'];Sin oscar
167;Manu Rishi Chadha;1971;[''];['Reparto', 'Guion', 'Música'];Sin Oscar
168;Yusuf Toosh Ibra;No data;['Trol', 'Kuppel 16', '2022 • 4 episodios', 'Abdul', 'Kaz'];['Reparto'];Sin oscar
169;Hasso von Scotch;No data;['Unhappy 2 - Plans', 'Timelifter', 'Mario Müggelwein', '2019'];['Reparto', 'Guion', 'Localización'];Sin oscar
170;Fares Fares;1973;[''];['Reparto', 'Producción', 'Guion'];Sin Oscar
171;Habib Al Aidroos;No data;['Attack', 'Mardaani', '118', 'Runway 34'];['Reparto'];Sin oscar
172;Dagur Kári;1973;['Voksne mennesker', 'Noi, el albino', 'Un buen corazón', 'Corazón gigante'];['Dirección', 'Guion', 'Composición'];Sin Oscar
173;Valerie Puente;No data;['Abilene'];['Reparto'];Sin oscar
174;Brooke Patterson;No data;[''];['Reparto', 'Equipos adicionales'];Sin oscar
175;Benny Bøtchiær Thomsen;1967;['Resten af livet', 'The Team', '2018 • 1 episodio', 'TilskuerReceptionsgæst', 'German tourist'];['Reparto'];Sin oscar
176;Haki Biçici;1981;['Untitled Haki Biçici Project', 'Rasit', 'Miniserie de TV', '7,6'];['Reparto', 'Dirección', 'Guion'];Sin Oscar
177;Tatiana Tibur;No data;['Falas Negras', '2020', 'Chica', '2023', 'Elis'];['Reparto', 'Casting'];Sin Oscar
178;Amina Mohamed;No data;['Fly Away with Me'];['Dirección'];Sin oscar
179;Caspar Phillipson;1971;[''];['Reparto'];Sin Oscar
180;Mariya Antonova;No data;['Trigger. Film', 'Sherlok v Rossii', '2020 • 8 episodios', '2018', 'Student'];['Reparto'];Sin oscar
181;Cecep Arif Rahman;No data;[''];['Reparto', 'Especialistas'];Sin oscar
182;Kaisha Nowland;No data;['Fate of the Night'];['Reparto'];Sin oscar
183;Laurence Koodin;No data;['Batman: A Beautiful Lie', 'Dirección(directed by)'];['Dirección', 'Reparto', 'Guion'];Sin oscar
184;Samantha Cassar Ellis;No data;['Jurassic World: Dominion', 'Asesinato en el Orient Express', 'Rebeldes de Hindostán', 'Is-Sriep Regghu Saru Velenuzi'];['Dirección de la segunda unidad o asistencia a dirección', 'Equipos adicionales', 'Reparto'];Sin Oscar
185;Daniela Arrieta;No data;['Lo que la gente cuenta', '2021 • 1 episodio', '2022', '2022 • 1 episodio'];['Reparto'];Sin oscar
186;Emöke Baráth;No data;['Il Boemo', 'Cavalli: Elena', 'Stabat Mater. Giovanni Battista Pergolesi'];['Reparto', 'Música'];Sin oscar
187;Gabrielle Dennis;octubre;[''];['Reparto', 'Producción', 'Dirección'];Sin Oscar
188;Alexander Jesus Burgos;No data;[''];['Reparto', 'Producción', 'Especialistas'];Sin oscar
189;Alice Heyward;No data;['Afterwater'];['Reparto'];Sin oscar
190;Master Akhil;No data;['Ombatthane Dikku'];['Reparto'];Sin oscar
191;Mumei Zeng;No data;['Duan · Qiao'];['Reparto'];Sin oscar
192;Aaron D. Spears;1971;[''];['Reparto', 'Producción', 'Composición'];Sin Oscar
193;Kario Marcel;agosto;[''];['Reparto', 'Guion'];Sin oscar
194;Juan Maria Almonte;No data;['Lilís', 'La fiesta del Chivo', 'Auf Wiedersehen, Pet', '2004 • 3 episodios', '2022'];['Reparto'];Sin oscar
195;Ajith;1971;[''];['Reparto', 'Música', 'Banda sonora'];Sin Oscar
196;Hugh Jackman;1968;[''];['Reparto', 'Producción', 'Equipo ejecutivo'];Nominado para 1 premio Óscar
