Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,13 Assassins,2010,9,tt1436045,Action
Movie,Chinese Kung Fu,2010,,tt14377420,Action
Movie,Gladiator Games,2010,9,tt1439532,Action
Movie,Le ultime 56 ore,2010,5,tt1440231,Action
Movie,The Spy Who Kicked Me,2010,4,tt14404234,Action
Movie,The American,2010,9,tt1440728,Action
Movie,Joo-yoo-so-seup-gyeok-sa-geon-too,2010,1,tt1442512,Action
Movie,14 Blades,2010,2,tt1442571,Action
Movie,The Gift,2010,6,tt1445206,Action
Movie,Caught in the Crossfire,2010,11,tt1449379,Action
Movie,Tu to Sajan Mara Kadje Korani,2010,10,tt14527302,Action
Movie,Devil's Playground,2010,10,tt1453245,Action
Movie,Caribbean Basterds,2010,8,tt1455613,Action
Movie,Prince,2010,4,tt1455816,Action
Movie,Boy Wonder,2010,4,tt1456060,Action
Movie,Jing wu feng yun: Chen Zhen,2010,9,tt1456661,Action
Movie,"Tomorrow, When the War Began",2010,9,tt1456941,Action
Movie,The Next Three Days,2010,12,tt1458175,Action
Movie,Jian yu,2010,9,tt1460743,Action
Movie,Enemies Among Us,2010,,tt1462044,Action
Movie,Vanguard,2010,,tt1462715,Action
Movie,Autoreiji,2010,6,tt1462667,Action
Movie,Falling Down,2010,7,tt1463774,Action
Movie,The Weathered Underground,2010,1,tt1464590,Action
Movie,Mit moon,2010,1,tt1465499,Action
Movie,Confession,2010,7,tt1465477,Action
Movie,The Wrath of Cain,2010,10,tt1465519,Action
Movie,Bear,2010,6,tt1468703,Action
Movie,Higashi no Eden Gekijôban II: Paradise Lost,2010,3,tt1468321,Action
Movie,MacGruber,2010,5,tt1470023,Action
Movie,Trackdown,2010,por estrenar,tt1470608,Action
Movie,Slimed,2010,3,tt1474859,Action
Movie,Space Battleship Yamato,2010,12,tt1477109,Action
Movie,"Kôshônin: The movie - Taimu rimitto kôdo 10,000 m no zunôsen",2010,2,tt1478965,Action
Movie,Transparency,2010,4,tt1479398,Action
Movie,Wildfire: The Arabian Heart,2010,1,tt1482957,Action
Movie,Asal,2010,2,tt1483821,Action
Movie,Drug Related,2010,10,tt1486652,Action
Movie,Hana no ato,2010,3,tt1487916,Action
Movie,Trap,2010,5,tt1494828,Action
Movie,Dirty South,2010,,tt1495732,Action
Movie,Paiyaa,2010,4,tt1496832,Action
Movie,Aaranya Kaandam,2010,6,tt1496729,Action
Movie,Dead Cert,2010,1,tt1499220,Action
Movie,Courier,2010,11,tt1500160,Action
Movie,Hard Way Heroes,2010,11,tt1503119,Action
